"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"22901","GOLDCASE","ZERODHAAMC - GOLDCASE","EQ","1.0000","1","ETF","E","NSE","13.5600","9.0400","","","2039711"
"21254","LOWVOLIETF","ICICI Pru Nifty Low 30 ETF","EQ","1.0000","1","ETF","E","NSE","25.8300","17.2200","","","4643961"
"11386","PVTBANIETF","ICICI Pru Private Banks ETF","EQ","1.0000","1","ETF","E","NSE","29.9200","19.9500","","","4008989"
"544132","GOLDCASE","Zerodha Mutual Fund","E","1.0000","1","ETF","E","BSE","13.5600","9.0400","","","-1"
"23184","MOREALTY","MOTILALAMC - MOREALTY","EQ","1.0000","1","ETF","E","NSE","122.8300","81.8800","","","23543"
"23181","MOSMALL250","MOTILALAMC - MOSMALL250","EQ","1.0000","1","ETF","E","NSE","20.5600","13.7100","","","137339"
"23407","LIQUIDADD","DSPAMC - LIQUIDADD","EQ","1.0000","1","ETF","E","NSE","1230.3800","820.2500","","","3410"
"22344","ALPL30IETF","ICICI Prudential Alpha Low ETF","EQ","1.0000","1","ETF","E","NSE","35.9800","23.9900","","","3334242"
"17152","MIDCAPIETF","ICICI Pru Midcap 150 ETF","EQ","1.0000","1","ETF","E","NSE","25.7200","17.1500","","","4664075"
"17702","MIDSELIETF","ICICI Prudential Midcap ETF","EQ","1.0000","1","ETF","E","NSE","21.2400","14.1600","","","1262046"
"5306","FMCGIETF","ICICI Prud FMCG ETF","EQ","1.0000","1","ETF","E","NSE","77.0700","51.3800","","","1556893"
"30392","NIF100IETF","ICICI Prudential Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","33.3000","22.2000","","","1064619"
"17808","QUAL30IETF","ICICIPRAMC - ICICIQTY30","EQ","1.0000","1","ETF","E","NSE","26.3800","17.5900","","","1117194"
"23806","ABSLPSE","BIRLASLAMC-ABSLPSE","EQ","1.0000","1","ETF","E","NSE","13.1800","8.7900","","","824073"
"23855","MIDSMALL","MIRAEAMC - MIDSMALL","EQ","1.0000","1","ETF","E","NSE","62.7200","41.8100","","","240888"
